Aspergillus_flavus,309,419
Aspergillus_fumigatus,229,230
Asteroma_sp_CCL060,395,395
Austropuccinia_psidii,390,393
Blastobotrys_adeninivorans,395,397
Blastobotrys_proliferans,394,396
Botrytis_cinerea,0,0
Botrytis_fabae,372,375
Candida_boleticola,393,399
Candida_caryicola,393,396
Candida_catenulata,396,417
Candida_dubliniensis,388,389
Candida_glabrata,323,334
Candida_metapsilosis,386,393
Candida_parapsilosis,393,396
Candida_tropicalis,392,393
Candida_zeylanoides,394,400
Cortinarius_globuliformis_CM4,296,298
Cryptococcus_gattii_VG_I,358,360
Cryptococcus_neoformans_VN_IIII,382,382
Cryptovalsa_ampelina,396,396
Diaporthe_sp_CCL067,397,400
Diplodia_seriata,397,400
Entoleuca_sp_CCL052,394,394
Erysiphe_necator,379,408
Eutypa_lata,393,393
Fusarium_proliferatum,386,393
Fusarium_pseudograminearum,386,387
Geotrichum_candidum,399,400
Kluyveromyces_lactis,396,399
Kluyveromyces_marxianus,399,406
Kodamaea_ohmeri,391,393
Leptosphaeria_maculans,398,401
Penicillium_chrysogenum,391,407
Pichia_kudriavzevii,390,404
Pichia_membranifaciens,299,299
Puccinia_graminis,392,392
Puccinia_striiformis_var_tritici,388,388
Puccinia_triticina,392,393
Pyrenophora_tritici-repentis,338,347
Quambalaria_cyanescens_CCL055,389,400
Rhodotorula_mucilaginosa,397,400
Scedosporium_aurantiacum,381,385
Scedosporium_boydii,388,392
Sclerotinia_sclerotiorum,390,394
Sporisorium_scitamineum,357,371
Trichomonascus_ciferrii,390,390
Trichosporon_asahii,394,404
Tuber_brumale,397,398
Wickerhamomyces_anomalus,395,397
Yamadazyma_mexicana,398,405
Yamadazyma_scolyti,397,398
Yarrowia_lipolytica,398,431
Zymoseptoria_tritici,395,402
